Date,agg
2003-09-29,49.58770751953125
2003-09-30,49.844932556152344
2003-10-01,49.820682525634766
2003-10-02,49.74298858642578
2003-10-03,49.38390350341797
2003-10-06,49.4566650390625
2003-10-07,49.28681564331055
2003-10-08,49.40815734863281
2003-10-09,49.23339080810547
2003-10-10,49.505184173583984
2003-10-13,49.28681564331055
2003-10-14,49.189727783203125
2003-10-15,49.068382263183594
2003-10-16,48.93733215332031
2003-10-17,49.17033386230469
2003-10-20,49.141170501708984
2003-10-21,49.23823165893555
2003-10-22,49.4566650390625
2003-10-23,49.33535385131836
2003-10-24,49.577999114990234
2003-10-27,49.48093795776367
2003-10-28,49.675025939941406
2003-10-29,49.4566650390625
2003-10-30,49.4566650390625
2003-10-31,49.37904739379883
2003-11-03,49.29084014892578
2003-11-04,49.3882942199707
2003-11-05,49.3882942199707
2003-11-06,49.12036895751953
2003-11-07,49.14474868774414
2003-11-10,49.23728561401367
2003-11-11,49.14965057373047
2003-11-12,49.242130279541016
2003-11-13,49.60254669189453
2003-11-14,49.64155578613281
2003-11-17,49.8509407043457
2003-11-18,49.826602935791016
2003-11-19,49.59284591674805
2003-11-20,49.763309478759766
2003-11-21,49.816864013671875
2003-11-24,49.607452392578125
2003-11-25,49.802284240722656
2003-11-26,49.62211227416992
2003-11-28,49.544166564941406
2003-12-01,49.408390045166016
2003-12-02,49.39373016357422
2003-12-03,49.442543029785156
2003-12-04,49.51581954956055
2003-12-05,49.764869689941406
2003-12-08,49.764869689941406
2003-12-09,49.48651885986328
2003-12-10,49.68183898925781
2003-12-11,49.857635498046875
2003-12-12,49.88697814941406
2003-12-15,49.857635498046875
2003-12-16,49.88697814941406
2003-12-17,50.00907516479492
2003-12-18,50.082305908203125
2003-12-19,50.10676574707031
2003-12-22,50.082305908203125
2003-12-23,49.88697814941406
2003-12-24,49.92601013183594
2003-12-26,50.17509841918945
2003-12-29,50.053035736083984
2003-12-30,49.960208892822266
2003-12-31,50.02928924560547
2004-01-02,49.74522018432617
2004-01-05,49.80398178100586
2004-01-06,50.02928924560547
2004-01-07,50.14192581176758
2004-01-08,50.127227783203125
2004-01-09,50.543556213378906
2004-01-12,50.40153503417969
2004-01-13,50.519046783447266
2004-01-14,50.51414108276367
2004-01-15,50.577816009521484
2004-01-16,50.538612365722656
2004-01-20,50.49454879760742
2004-01-21,50.52885055541992
2004-01-22,50.61696243286133
2004-01-23,50.49454879760742
2004-01-26,50.298614501953125
2004-01-27,50.372093200683594
2004-01-28,50.269283294677734
2004-01-29,50.151729583740234
2004-01-30,50.249656677246094
2004-02-02,50.263431549072266
2004-02-03,50.40092468261719
2004-02-04,50.40584182739258
2004-02-05,50.263431549072266
2004-02-06,50.46968460083008
2004-02-09,50.5040397644043
2004-02-10,50.39603042602539
2004-02-11,50.59244918823242
2004-02-12,50.59739685058594
2004-02-13,50.82327651977539
2004-02-17,50.700504302978516
2004-02-18,50.66121292114258
2004-02-19,50.71522521972656
2004-02-20,50.55809020996094
2004-02-23,50.69559097290039
2004-02-24,50.6513557434082
2004-02-25,50.769264221191406
2004-02-26,50.685794830322266
2004-02-27,50.82327651977539
2004-03-01,50.84589385986328
2004-03-02,50.66868209838867
2004-03-03,50.614532470703125
2004-03-04,50.73762130737305
2004-03-05,51.111724853515625
2004-03-08,51.28402328491211
2004-03-09,51.35783386230469
2004-03-10,51.29877853393555
2004-03-11,51.41203308105469
2004-03-12,51.254493713378906
2004-03-15,51.264305114746094
2004-03-16,51.38738250732422
2004-03-17,51.36277770996094
2004-03-18,51.3135986328125
2004-03-19,51.2593994140625
2004-03-22,51.39234924316406
2004-03-23,51.397274017333984
2004-03-24,51.42680358886719
2004-03-25,51.397274017333984
2004-03-26,51.219993591308594
2004-03-29,51.126495361328125
2004-03-30,50.92465591430664
2004-03-31,51.170806884765625
2004-04-01,51.19542694091797
2004-04-02,50.726661682128906
2004-04-05,50.41572570800781
2004-04-06,50.5588493347168
2004-04-07,50.43547821044922
2004-04-08,50.465087890625
2004-04-12,50.450313568115234
2004-04-13,50.36146545410156
2004-04-14,50.213436126708984
2004-04-15,50.139404296875
2004-04-16,50.27756118774414
2004-04-19,50.213436126708984
2004-04-20,50.050537109375
2004-04-21,49.93212890625
2004-04-22,50.11470031738281
2004-04-23,50.01604080200195
2004-04-26,50.00124740600586
2004-04-27,50.12459945678711
2004-04-28,49.892642974853516
2004-04-29,49.74951171875
2004-04-30,49.734718322753906
2004-05-03,49.6605339050293
2004-05-04,49.749549865722656
2004-05-05,49.68523025512695
2004-05-06,49.531856536865234
2004-05-07,49.1112174987793
2004-05-10,49.037010192871094
