cohort,n_features,features,log_likelihood,bic,vi_iters,policy_bull_action,policy_bear_action,regime_policy_differs,V_bull,V_bear,mean_spy_bull,mean_spy_bear,mean_agg_bull,mean_agg_bear,n_months_bull,n_months_bear
1_baseline,2,vix|term_spread,-270.6235169208471,614.1224607035422,134,"[1.0, 0.0]","[0.0, 1.0]",True,0.1898352820624496,0.03324620177564542,1.2799118097464253,-0.21754723973820986,0.2543353162483629,0.2353221744404613,201,71
2_vol_curve,3,vix|term_spread|term_spread_2y,-261.50883503401485,640.7395134602457,115,"[1.0, 0.0]","[0.8, 0.2]",True,0.12582837895472404,0.05799495265918879,0.9818399297749154,0.7215920827526632,0.24386855243019973,0.2593018172774098,175,97
3_stress,4,vix|term_spread|nfci|stlfsi,-169.76353109370393,513.3069262425838,113,"[1.0, 0.0]","[0.0, 1.0]",True,0.19218056369886272,0.02864199041831586,1.5207194937479513,0.2573424160874789,0.2194109943542443,0.2793336596986505,136,136
4_macro,5,vix|term_spread|nfci|umcsent|jobless_claims,-409.62567167114474,1059.9834875792196,131,"[1.0, 0.0]","[0.8, 0.2]",True,0.19302990440100448,0.0657825898701104,1.248557952937676,0.653071754301821,0.17239021487729883,0.29147624761084534,88,182
5_kitchen_sink,8,vix|term_spread|term_spread_2y|nfci|stlfsi|umcsent|jobless_claims|usd_index,-284.7394344335259,1069.3474602110416,97,"[1.0, 0.0]","[0.0, 1.0]",True,0.11378522095404629,0.05627483255458305,1.0417218298168405,0.40255220677767584,0.1280300303178564,0.5177229995557839,164,79
