Unnamed: 0,static_60_40,equal_weight,inverse_vol,risk_parity,mean_variance_lw,faber_10mo_sma,ts_momentum_12mo,vol_target_60_40,myopic_12mo,hmm_conditional_mv,black_litterman_hmm,qmdp
2003-10-31,0.02752942066547736,0.021375857983360252,0.021375857983360252,0.021375857983360252,0.02752942066547736,0.021375857983360252,0.021375857983360252,0.02752942066547736,0.02752942066547736,0.011878475199318247,0.02752942066547736,0.0521436713939458
2003-11-30,0.00785217145869224,0.00709972448003085,0.00709972448003085,0.00709972448003085,0.00785217145869224,0.00709972448003085,0.00709972448003085,0.00785217145869224,0.00785217145869224,0.005938400975224288,0.00785217145869224,0.0108619593733378
2003-12-31,0.03335110894414468,0.029416914311509904,0.029416914311509904,0.029416914311509904,0.03335110894414468,0.029416914311509904,0.029416914311509904,0.03335110894414468,0.03335110894414468,0.0233448948484367,0.03335110894414468,0.0490878874746838
2004-01-31,0.01350444007251652,0.0119862539823701,0.0119862539823701,0.0119862539823701,0.01350444007251652,0.0119862539823701,0.0119862539823701,0.01350444007251652,0.01350444007251652,0.009643091950815412,0.01350444007251652,0.0195771844331022
2004-02-29,0.01262772801001756,0.0124148202267275,0.0124148202267275,0.0124148202267275,0.01262772801001756,0.0124148202267275,0.0124148202267275,0.01262772801001756,0.01262772801001756,0.012086219248714569,0.01262772801001756,0.0134793591431778
2004-03-31,-0.00527469950270792,-0.00325984193813155,-0.00325984193813155,-0.00325984193813155,-0.00527469950270792,-0.00325984193813155,-0.00325984193813155,-0.00527469950270792,-0.00527469950270792,-0.0001501192401381999,-0.00527469950270792,-0.0133341297610134
2004-04-30,-0.02284765826842252,-0.023783901178994003,-0.023783901178994003,-0.023783901178994003,-0.02284765826842252,-0.023783901178994003,-0.023783901178994003,-0.02284765826842252,-0.02284765826842252,-0.025228894552732372,-0.02284765826842252,-0.0191026866261366
2004-05-31,0.008671849516645999,0.006595198220709749,0.006595198220709749,0.006595198220709749,0.008671849516645999,0.006595198220709749,0.006595198220709749,0.008671849516645999,0.008671849516645999,0.0033901033374155866,0.008671849516645999,0.016978454700391
2004-06-30,0.013902091900833299,0.01279455842522855,0.01279455842522855,0.01279455842522855,0.013902091900833299,0.01279455842522855,0.01279455842522855,0.013902091900833299,0.013902091900833299,0.011085195913243891,0.013902091900833299,0.0183322258032523
2004-07-31,-0.015966307131505958,-0.01177065606994215,-0.01177065606994215,-0.01177065606994215,-0.015966307131505958,-0.01177065606994215,-0.01177065606994215,-0.015966307131505958,-0.015966307131505958,-0.00529510585319613,-0.015966307131505958,-0.0327489113777612
2004-08-31,0.00788210340408896,0.00924442831895865,0.00924442831895865,0.00924442831895865,0.00788210340408896,0.0155560528933071,0.00924442831895865,0.00788210340408896,0.00788210340408896,0.011347034867577318,0.00788210340408896,0.0024328037446102
2004-09-30,0.00805439741263442,0.007571240739340349,0.0065408404521309456,0.007571240739340349,0.00805439741263442,0.0089870241058107,0.007571240739340349,0.009203867432516628,0.0095870241058107,0.006825538760180633,0.00805439741263442,0.0099870241058107
2004-10-31,0.011133300365842161,0.01071594945861915,0.009985640669969561,0.01071594945861915,0.011133300365842161,0.0128027039947342,0.01071594945861915,0.01238535308751119,0.0128027039947342,0.010071811822273433,0.011133300365842161,0.0128027039947342
2004-11-30,0.023165195712993518,0.018067930434026498,0.008757439291822667,0.018067930434026498,0.023165195712993518,0.0435542568288616,0.018067930434026498,0.03845699154989458,0.0435542568288616,0.010200832623055486,0.023165195712993518,0.0435542568288616
2004-12-31,0.02098250655161472,0.01880895480183015,0.014805270837087102,0.01880895480183015,0.02098250655161472,0.029676713550753,0.01880895480183015,0.027503161800968425,0.029676713550753,0.015454304165277898,0.02098250655161472,0.029676713550753
2005-01-31,-0.01165734811335496,-0.00890271084555335,-0.003421034114301905,-0.00890271084555335,-0.01165734811335496,-0.0226758971845614,-0.00890271084555335,-0.01992125991675979,-0.0226758971845614,-0.004651215262429035,-0.01165734811335496,-0.0226758971845614
2005-02-28,0.01092478832388682,0.008483951202969551,0.0036517032982589293,0.008483951202969551,0.01092478832388682,0.0206881368075559,0.008483951202969551,0.018247299686638626,0.0206881368075559,0.004716773447842694,0.01092478832388682,0.0206881368075559
2005-03-31,-0.014993125373390941,-0.014125929476865001,-0.012398224001458456,-0.014125929476865001,-0.014993125373390941,-0.0184619089594947,-0.014125929476865001,-0.01759471306296876,-0.0184619089594947,-0.012787502974443522,-0.014993125373390941,-0.0184619089594947
2005-04-30,-0.004515119382598238,-0.0009156952229029992,0.006135264642188102,-0.0009156952229029992,-0.004515119382598238,-0.0189128160213792,-0.0009156952229029992,-0.015313391861683956,-0.0189128160213792,0.00463964089906418,-0.004515119382598238,-0.0189128160213792
2005-05-31,0.022326629566247338,0.01997919341987475,0.015305594266475363,0.01997919341987475,0.022326629566247338,0.0317163741517377,0.01997919341987475,0.029368938005365105,0.0317163741517377,0.016356170336354846,0.022326629566247338,0.0317163741517377
2005-06-30,0.00439802903195052,0.00511906331658615,0.006546171179697345,0.00511906331658615,0.00439802903195052,0.001513891893408,0.00511906331658615,0.0022349261780436305,0.007724234739764299,0.006231904601441067,0.00439802903195052,0.001513891893408
2005-07-31,0.01836545412556756,0.0135699239446825,0.0041545230685318705,0.0135699239446825,0.01836545412556756,0.0375475748491078,0.0135699239446825,0.032752044668222735,0.0365475748491078,0.006168522816089132,0.01836545412556756,0.0375475748491078
2005-08-31,-0.0009529162509330988,0.0011635273904255505,0.005314113016298956,0.0011635273904255505,-0.0009529162509330988,-0.0094186908163677,0.0011635273904255505,-0.0073022471750090485,-0.0094186908163677,0.00443003761242255,-0.0009529162509330988,-0.0094186908163677
2005-09-30,0.00103211819391352,-0.0007080682585904495,-0.004020332916630766,-0.0007080682585904495,0.00103211819391352,0.0079928640039294,-0.0007080682585904495,0.0062526775514254295,0.0079928640039294,-0.0033938647164804673,0.00103211819391352,0.0079928640039294
2005-10-31,-0.01834483628209664,-0.01694731208210425,-0.014253317342949897,-0.01694731208210425,-0.01834483628209664,-0.0239349330820662,-0.01694731208210425,-0.022537408882073808,-0.0239349330820662,-0.014790379104747573,-0.01834483628209664,-0.0239349330820662
2005-11-30,0.02730393112974158,0.0233763757064985,0.015471595733246173,0.0233763757064985,0.02730393112974158,0.0430141528227139,0.0233763757064985,0.03908659739947081,0.0430141528227139,0.017314603171300045,0.02730393112974158,0.0430141528227139
2005-12-31,0.0033615703638563005,0.004680892476282,0.0073027925323374395,0.004680892476282,0.0033615703638563005,-0.0019157180858465,0.004680892476282,-0.0005963959734207988,-0.0019157180858465,0.006717128680322232,0.0033615703638563005,-0.0019157180858465
2006-01-31,0.013999737779140521,0.011567095940688601,0.0067033441282962234,0.011567095940688601,0.013999737779140521,0.0237303051329482,0.011567095940688601,0.02129766329449628,0.0237303051329482,0.007812566750079169,0.013999737779140521,0.0237303051329482
2006-02-28,0.00406793691551352,0.003657554217867,0.0028366225568097433,0.003657554217867,0.00406793691551352,0.0057094677060996,0.003657554217867,0.00529908500845308,0.0057094677060996,0.0030241712868986537,0.00406793691551352,0.0057094677060996
2006-03-31,0.0063366103775948195,0.0038284374173416496,-0.001093282575805803,0.0038284374173416496,0.0063366103775948195,0.0163693022186075,0.0038284374173416496,0.013861129258354326,0.0163693022186075,-4.2666189246228295e-05,0.0063366103775948195,0.0163693022186075
2006-04-30,0.00693534552455944,0.0055310641506061,0.0027822661075200712,0.0055310641506061,0.00693534552455944,0.0125524710203728,0.0055310641506061,0.011148189646419459,0.0125524710203728,0.0033637021793542273,0.00693534552455944,0.0125524710203728
2006-05-31,-0.01914535902464684,-0.01628574972071245,-0.01041408492736049,-0.01628574972071245,-0.01914535902464684,-0.0305837962403844,-0.0310837962403844,-0.02772418693645001,-0.0305837962403844,-0.011872240738151973,-0.01914535902464684,-0.0305837962403844
2006-06-30,0.00091832653267348,0.0004967696568656001,-0.0003699251434685923,0.0004967696568656001,0.00091832653267348,0.002604554035905,0.002604554035905,0.00218299716009712,0.002604554035905,-0.0001538594537189757,0.00091832653267348,0.002604554035905
2006-07-31,0.0081989279395597,0.00913155158770215,0.010998363645818618,0.00913155158770215,0.0081989279395597,0.0044684333469899,0.00863155158770215,0.005401056995132351,0.0044684333469899,0.010570959007017032,0.0081989279395597,0.0044684333469899
2006-08-31,0.01926640960443322,0.01868600492685695,0.01754591412014101,0.01868600492685695,0.01926640960443322,0.0215880283147383,0.01868600492685695,0.021007623637162028,0.0215880283147383,0.01779021078656003,0.01926640960443322,0.0215880283147383
2006-09-30,0.020012064195946942,0.0183542474638476,0.015113122222643344,0.0183542474638476,0.020012064195946942,0.0266433311243443,0.0183542474638476,0.024985514392244963,0.0266433311243443,0.015795580086282176,0.020012064195946942,0.0266433311243443
2006-10-31,0.02135165120816904,0.018932008650713,0.014303639516590985,0.014006026538702157,0.02135165120816904,0.0310302214379932,0.018932008650713,0.028610578880537158,0.0310302214379932,0.015197542495764842,0.02135165120816904,0.0310302214379932
2006-11-30,0.016039421922004322,0.0151266783951361,0.013391535789655969,0.01337801214472809,0.016039421922004322,0.0196903960294772,0.0151266783951361,0.01877765250260898,0.0196903960294772,0.01371795387145227,0.016039421922004322,0.0196903960294772
2006-12-31,0.00556036799844164,0.0036298116272287496,0.00018728021389266815,-3.8960803469669364e-05,0.00556036799844164,0.0132825934832932,0.0036298116272287496,0.01135203711208031,0.0132825934832932,0.000650199036807921,0.00556036799844164,0.0132825934832932
2007-01-31,0.00867607230168462,0.0071130547718973,0.004348964166134107,0.004323570374619179,0.00867607230168462,0.0149281424208339,0.0071130547718973,0.01336512489104658,0.0149281424208339,0.004700700084799073,0.00867607230168462,0.0149281424208339
2007-02-28,-0.005438223457692258,-0.0018446889335675988,0.004571785236553739,0.004507280271449566,-0.005438223457692258,-0.0198123615541909,-0.0018446889335675988,-0.016218827030066236,-0.0198123615541909,0.003701557149610366,-0.005438223457692258,-0.0198123615541909
2007-03-31,0.0061321691163526,0.004784647260613901,0.002416566891858005,0.0023760615811376914,0.0061321691163526,0.0115222565393074,0.004784647260613901,0.0101747346835687,0.0115222565393074,0.002704887691250095,0.0061321691163526,0.0115222565393074
