Unnamed: 0,P_bear
2003-10-31,0.28268879937412317
2003-11-30,0.2210239977256228
2003-12-31,0.2588310941522919
2004-01-31,0.21473681066095232
2004-02-29,0.1447587615205262
2004-03-31,0.11037508979351768
2004-04-30,0.09437604156086178
2004-05-31,0.06484535384183006
2004-06-30,0.050696526779301025
2004-07-31,0.038738818568417044
2004-08-31,0.017953319970274682
2004-09-30,0.008627989299664825
2004-10-31,0.0036478433709909238
2004-11-30,0.0022223385642149525
2004-12-31,0.0014696231611504291
2005-01-31,0.00037888922226883895
2005-02-28,0.0003431654586216841
2005-03-31,0.0004469747380821515
2005-04-30,0.00010058228339240071
2005-05-31,1.9257758376720504e-05
2005-06-30,6.897329067247439e-06
2005-07-31,9.88889329865633e-06
2005-08-31,9.751823285165216e-07
2005-09-30,6.227692643918697e-06
2005-10-31,2.1666208967647006e-06
2005-11-30,1.3174204066193426e-06
2005-12-31,2.830008406760035e-07
2006-01-31,4.5185086566525564e-08
2006-02-28,1.6929497487151367e-08
2006-03-31,1.753249933761709e-07
2006-04-30,2.7929980300183456e-07
2006-05-31,3.585949223846522e-07
2006-06-30,8.157341302096904e-08
2006-07-31,1.58788200133168e-08
2006-08-31,2.4507371279419353e-09
2006-09-30,4.089843033071777e-09
2006-10-31,6.923845075813695e-10
2006-11-30,2.928392480844927e-10
2006-12-31,2.577888503124971e-09
2007-01-31,3.681052521322604e-09
2007-02-28,3.170203587624912e-10
2007-03-31,1.5629444474338657e-09
2007-04-30,3.5748196422206295e-09
2007-05-31,1.012681304171572e-07
2007-06-30,2.3672872318958342e-07
2007-07-31,2.987102202013347e-06
2007-08-31,0.0002614871960281037
2007-09-30,1.6265758696161693e-05
2007-10-31,5.58654795637274e-06
2007-11-30,0.0007445972021353376
2007-12-31,0.00026418566679288106
2008-01-31,0.5269698583673372
2008-02-29,0.9928528091312852
2008-03-31,0.9997264274292877
2008-04-30,0.9893048034885478
2008-05-31,0.9025928207845701
2008-06-30,0.9927393017003711
2008-07-31,0.9972108355745327
2008-08-31,0.9792095052650396
2008-09-30,0.9999999999999984
2008-10-31,1.0
2008-11-30,1.0
2008-12-31,0.9999999999999998
2009-01-31,1.0
2009-02-28,1.0
2009-03-31,1.0
