name,cagr,vol,downside_vol,sharpe,sortino,omega,max_drawdown,calmar,ulcer,tail_ratio,hit_rate,turnover_avg,gamma
static,0.0739570700547878,0.09354180931556048,0.06276296172405636,0.812258187085396,1.2105881934858187,1.8367919634414824,-0.34178037870686273,0.21638770000374744,7.37968130429252,1.1394225456023082,0.6801470588235294,0.0,1.0
qmdp,0.11725232236626537,0.10151260153596442,0.05706713203399569,1.1476951153000308,2.041551989239985,2.393612906556052,-0.1468078413464956,0.7986788804388633,4.056525036445365,1.3586182657982824,0.6911764705882353,0.09705882352941175,1.0
myopic,0.1408924564753533,0.11319244980422889,0.06413281917928264,1.227229566875337,2.166022372390522,2.504595767021314,-0.21054491074748138,0.669180062225934,4.293721870879534,1.4255936407843735,0.7058823529411765,0.23529411764705882,1.0
static,0.0739570700547878,0.09354180931556048,0.06276296172405636,0.812258187085396,1.2105881934858187,1.8367919634414824,-0.34178037870686273,0.21638770000374744,7.37968130429252,1.1394225456023082,0.6801470588235294,0.0,2.0
qmdp,0.11954740719500401,0.10042010766768815,0.055595855200984236,1.1796736355403616,2.1307875032309793,2.4578752501984322,-0.14168588672586013,0.843749578434085,3.3241850774089188,1.3969366790460882,0.6911764705882353,0.09999999999999999,2.0
myopic,0.1408924564753533,0.11319244980422889,0.06413281917928264,1.227229566875337,2.166022372390522,2.504595767021314,-0.21054491074748138,0.669180062225934,4.293721870879534,1.4255936407843735,0.7058823529411765,0.23529411764705882,2.0
static,0.0739570700547878,0.09354180931556048,0.06276296172405636,0.812258187085396,1.2105881934858187,1.8367919634414824,-0.34178037870686273,0.21638770000374744,7.37968130429252,1.1394225456023082,0.6801470588235294,0.0,3.0
qmdp,0.11899229472620121,0.10009947694107924,0.05532957473326415,1.1781245266503328,2.1314034936591617,2.4565305685123087,-0.14168588672586002,0.8398316690245419,3.2449566068012894,1.3969366790460882,0.6911764705882353,0.09999999999999999,3.0
myopic,0.1408924564753533,0.11319244980422889,0.06413281917928264,1.227229566875337,2.166022372390522,2.504595767021314,-0.21054491074748138,0.669180062225934,4.293721870879534,1.4255936407843735,0.7058823529411765,0.23529411764705882,3.0
static,0.0739570700547878,0.09354180931556048,0.06276296172405636,0.812258187085396,1.2105881934858187,1.8367919634414824,-0.34178037870686273,0.21638770000374744,7.37968130429252,1.1394225456023082,0.6801470588235294,0.0,5.0
qmdp,0.11668223530770372,0.09853828592360617,0.055040618644317155,1.1741148176380922,2.101997841906713,2.4435847617120445,-0.14168588672586013,0.8235275792391762,3.018636979243599,1.3995933671414975,0.6948529411764706,0.10294117647058824,5.0
myopic,0.1408924564753533,0.11319244980422889,0.06413281917928264,1.227229566875337,2.166022372390522,2.504595767021314,-0.21054491074748138,0.669180062225934,4.293721870879534,1.4255936407843735,0.7058823529411765,0.23529411764705882,5.0
static,0.0739570700547878,0.09354180931556048,0.06276296172405636,0.812258187085396,1.2105881934858187,1.8367919634414824,-0.34178037870686273,0.21638770000374744,7.37968130429252,1.1394225456023082,0.6801470588235294,0.0,8.0
qmdp,0.11317985452149881,0.09654963057843491,0.05416733654847101,1.1634936128946431,2.073849032706727,2.420917814300395,-0.14168588672586002,0.798808245033495,2.964260320537704,1.4372594757749817,0.6911764705882353,0.11323529411764706,8.0
myopic,0.1408924564753533,0.11319244980422889,0.06413281917928264,1.227229566875337,2.166022372390522,2.504595767021314,-0.21054491074748138,0.669180062225934,4.293721870879534,1.4255936407843735,0.7058823529411765,0.23529411764705882,8.0
static,0.0739570700547878,0.09354180931556048,0.06276296172405636,0.812258187085396,1.2105881934858187,1.8367919634414824,-0.34178037870686273,0.21638770000374744,7.37968130429252,1.1394225456023082,0.6801470588235294,0.0,10.0
qmdp,0.11283900231460531,0.09470181986689302,0.05282441783317857,1.1810721518813714,2.117385988625539,2.45218159393516,-0.14168588672586013,0.796402555837696,2.8977679752179712,1.4347739890556583,0.6911764705882353,0.11029411764705883,10.0
myopic,0.1408924564753533,0.11319244980422889,0.06413281917928264,1.227229566875337,2.166022372390522,2.504595767021314,-0.21054491074748138,0.669180062225934,4.293721870879534,1.4255936407843735,0.7058823529411765,0.23529411764705882,10.0
static,0.0739570700547878,0.09354180931556048,0.06276296172405636,0.812258187085396,1.2105881934858187,1.8367919634414824,-0.34178037870686273,0.21638770000374744,7.37968130429252,1.1394225456023082,0.6801470588235294,0.0,15.0
qmdp,0.09386450207247665,0.07683896312572072,0.042930360097614195,1.210184465305737,2.1660503031772924,2.48871626952705,-0.13106951373842957,0.7161429030689659,2.68229445424985,1.5212449797944945,0.7022058823529411,0.09264705882352942,15.0
myopic,0.1408924564753533,0.11319244980422889,0.06413281917928264,1.227229566875337,2.166022372390522,2.504595767021314,-0.21054491074748138,0.669180062225934,4.293721870879534,1.4255936407843735,0.7058823529411765,0.23529411764705882,15.0
static,0.0739570700547878,0.09354180931556048,0.06276296172405636,0.812258187085396,1.2105881934858187,1.8367919634414824,-0.34178037870686273,0.21638770000374744,7.37968130429252,1.1394225456023082,0.6801470588235294,0.0,20.0
qmdp,0.07915771541241767,0.06429106123435173,0.03616346825238334,1.2206992086919282,2.1701471503515224,2.4950848062928497,-0.1389350211233008,0.5697463085435277,2.7701000584655913,1.3756144006093012,0.7022058823529411,0.06470588235294118,20.0
myopic,0.1408924564753533,0.11319244980422889,0.06413281917928264,1.227229566875337,2.166022372390522,2.504595767021314,-0.21054491074748138,0.669180062225934,4.293721870879534,1.4255936407843735,0.7058823529411765,0.23529411764705882,20.0
