name,cagr,vol,downside_vol,sharpe,sortino,omega,max_drawdown,calmar,ulcer,tail_ratio,hit_rate,turnover_avg,period,n_months
static_60_40,0.045273534119518954,0.09773430372191085,0.07247084622715376,0.5038581515983807,0.6795039410292639,1.4793370001916741,-0.34178037870686273,0.13246381869788096,10.958541901171243,0.8354396009257451,0.6551724137931034,0.0,A_2003_2010,87
equal_weight,0.04603458974113894,0.08385926916091409,0.06155953990420226,0.5804435908051848,0.790707263079085,1.5779958291441598,-0.28565279635310104,0.16115574686772777,8.53215846615096,0.8867214686457693,0.6436781609195402,0.0,A_2003_2010,87
inverse_vol,0.05249775766513198,0.05165783794356653,0.034219936394070394,1.0185491914901663,1.5375846543264473,2.1941583369812316,-0.11165081167287538,0.4701959338992058,2.7104671027636478,1.0371593925362843,0.7011494252873564,0.013557920800471706,A_2003_2010,87
risk_parity,0.056294375859277546,0.055124065415575296,0.03651476174115247,1.0235014452338946,1.5451164934324004,2.1935536204559014,-0.11748786353152862,0.4791505621699435,2.9222992389664637,1.025630270989207,0.7011494252873564,0.012010513337112429,A_2003_2010,87
mean_variance_lw,0.04539775883457842,0.0655733521544263,0.0457663256409558,0.7113854918081369,1.0192631966534798,1.7307737577994078,-0.19345354934166303,0.23467007449111377,6.157525845924259,1.2769385868985443,0.6896551724137931,0.01522010001677613,A_2003_2010,87
faber_10mo_sma,0.13625995324480655,0.09436437385267031,0.04820380201392603,1.4076961483709804,2.755723823972785,2.9252404446724114,-0.08278838407676936,1.6458825083293473,2.1349321302195867,2.206571477625926,0.6896551724137931,0.1724137931034483,A_2003_2010,87
ts_momentum_12mo,0.062147053990110335,0.06884970269832318,0.04725074853022752,0.9129435316230982,1.3302623278527959,2.1064856905899436,-0.12122278800608144,0.5126680800889728,2.53645808521948,1.5210393835491602,0.6781609195402298,0.06896551724137931,A_2003_2010,87
vol_target_60_40,0.037055496313320946,0.10418512200811043,0.08008995080557556,0.40326585295658574,0.5245889361822623,1.3513005730917265,-0.3905038047636603,0.09489151158398464,15.387771217122136,0.7020733065046247,0.632183908045977,0.018143584560790182,A_2003_2010,87
myopic_12mo,0.11483243416569233,0.0931786687553162,0.05170074465074277,1.218251623926483,2.195617593001941,2.530950332706187,-0.13151781867176326,0.8731321377241389,2.6611662708442028,1.87655850245444,0.7011494252873564,0.1471264367816092,A_2003_2010,87
hmm_conditional_mv,0.06525994110273814,0.05179435269258549,0.0295021190151695,1.2496608487182754,2.193922908091767,2.531608826616726,-0.09785466277603883,0.6669068110949334,2.136363567127762,1.389726419553921,0.6436781609195402,0.03178486622867521,A_2003_2010,87
black_litterman_hmm,0.06847072050714353,0.06643582582839076,0.042002816513266955,1.0330337298131096,1.633948735962483,2.090665648908132,-0.16466067429919018,0.4158292245465454,4.582690686602526,1.2975624373973143,0.6551724137931034,0.04010415481816727,A_2003_2010,87
qmdp,0.03951728362812679,0.15667170046885473,0.11831181321466452,0.32883301001374826,0.43544955866469826,1.2890765447247865,-0.5300379971075126,0.07455556741927527,20.31141358081367,0.7741870873301324,0.632183908045977,0.0,A_2003_2010,87
static_60_40,0.08904061895296134,0.06799690483707348,0.039755170305207456,1.2928462810686399,2.211273272580436,2.5474541255169982,-0.08475654628942253,1.0505456256901946,1.8985686112837898,1.0155991254387684,0.7129629629629629,0.0,B_2011_2019,108
equal_weight,0.07993666166348934,0.05692177724136076,0.032282686122503304,1.3837544296442597,2.4398763195250806,2.711017944885927,-0.06400657387703101,1.2488820572877888,1.4924608821496443,1.133419717402204,0.7129629629629629,0.0,B_2011_2019,108
inverse_vol,0.049460540829993516,0.03773958918634982,0.020524845724251107,1.300543055815363,2.3913437063080623,2.809102036919136,-0.06400657387703101,0.7727415769045343,1.1014067897964688,1.3511633076381973,0.7037037037037037,0.014823989067019091,B_2011_2019,108
